"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Login_with_valid_credentials","","2026-03-08","passed","2026-03-08","AdminDemo","Automation-Demo","",""
"","4","Test Github actions","","2026-03-08","passed","2026-03-08","AdminDemo","Automation-Demo","",""
